"filename", "language", "Handlebars", "SCSS", "Markdown", "JavaScript", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\pages\_nosotros.scss", "SCSS", 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\themes\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\themes\_default.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 1, 5
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\vendors\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\vendors\_normalize.scss", "SCSS", 0, 146, 0, 0, 0, 0, 0, 129, 74, 349
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\src\Product.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\404.hbs", "Handlebars", 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\alta.hbs", "Handlebars", 343, 0, 0, 0, 0, 0, 0, 3, 11, 357
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\contacto.hbs", "Handlebars", 98, 0, 0, 0, 0, 0, 0, 0, 4, 102
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\home.hbs", "Handlebars", 60, 0, 0, 0, 0, 0, 0, 0, 2, 62
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\layouts\main.hbs", "Handlebars", 16, 0, 0, 0, 0, 0, 0, 1, 4, 21
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\listado.hbs", "Handlebars", 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\listingContainer.hbs", "Handlebars", 71, 0, 0, 0, 0, 0, 0, 0, 5, 76
